New_Customer_ID,Email,Cluster_S1,Cluster_S2
25466,Dominique52@gmail.com,Cluster 3,Cluster 1
16938,Brianna8@gmail.com,Cluster 1,Cluster 2
46232,Melissa21@gmail.com,Cluster 1,Cluster 2
13545,Anthony26@gmail.com,Cluster 3,Cluster 1
37812,Kara43@gmail.com,Cluster 3,Cluster 1
39299,Kelly99@gmail.com,Cluster 1,Cluster 2
27485,Erica91@gmail.com,Cluster 3,Cluster 1
12216,Amber47@gmail.com,Cluster 1,Cluster 2
33218,Jason63@gmail.com,Cluster 3,Cluster 1
52231,Robert89@gmail.com,Cluster 3,Cluster 1
59218,Tom90@gmail.com,Cluster 1,Cluster 2
53973,Sarah100@gmail.com,Cluster 1,Cluster 2
12135,Amanda64@gmail.com,Cluster 1,Cluster 2
23104,Danielle47@gmail.com,Cluster 1,Cluster 2
54679,Shannon57@gmail.com,Cluster 1,Cluster 2
42918,Lori70@gmail.com,Cluster 1,Cluster 2
46380,Melvin34@gmail.com,Cluster 1,Cluster 2
47689,Monica62@gmail.com,Cluster 3,Cluster 1
42908,Lori61@gmail.com,Cluster 1,Cluster 2
46620,Michael54@gmail.com,Cluster 1,Cluster 2
47697,Monica6@gmail.com,Cluster 3,Cluster 2
37644,Kaitlin36@gmail.com,Cluster 3,Cluster 2
35861,John100@gmail.com,Cluster 3,Cluster 1
33078,Jasmine27@gmail.com,Cluster 1,Cluster 2
46588,Michael25@gmail.com,Cluster 3,Cluster 1
59000,Tina32@gmail.com,Cluster 1,Cluster 2
23039,Daniel79@gmail.com,Cluster 4,Cluster 2
35894,John3@gmail.com,Cluster 1,Cluster 2
18946,Cassandra10@gmail.com,Cluster 1,Cluster 2
18904,Casey5@gmail.com,Cluster 3,Cluster 1
50924,Randy87@gmail.com,Cluster 1,Cluster 2
36746,Joseph95@gmail.com,Cluster 1,Cluster 2
36266,Jonathan55@gmail.com,Cluster 4,Cluster 1
13611,Anthony86@gmail.com,Cluster 3,Cluster 1
44623,Marilyn60@gmail.com,Cluster 4,Cluster 1
32110,Jacob10@gmail.com,Cluster 3,Cluster 1
22676,Dale68@gmail.com,Cluster 3,Cluster 1
45904,Megan75@gmail.com,Cluster 3,Cluster 1
54592,Shane69@gmail.com,Cluster 3,Cluster 1
23474,Darrell77@gmail.com,Cluster 4,Cluster 1
28730,Frederick4@gmail.com,Cluster 4,Cluster 1
52635,Roger41@gmail.com,Cluster 3,Cluster 1
13559,Anthony39@gmail.com,Cluster 3,Cluster 1
58738,Tiffany30@gmail.com,Cluster 4,Cluster 1
58711,Thomas97@gmail.com,Cluster 3,Cluster 1
16720,Brian49@gmail.com,Cluster 3,Cluster 1
11322,Alexis30@gmail.com,Cluster 3,Cluster 1
34894,Jill65@gmail.com,Cluster 3,Cluster 1
36589,Jose43@gmail.com,Cluster 4,Cluster 1
59484,Tonya20@gmail.com,Cluster 3,Cluster 1
53589,Samantha66@gmail.com,Cluster 3,Cluster 1
29262,Gary99@gmail.com,Cluster 4,Cluster 1
28955,Gabrielle13@gmail.com,Cluster 3,Cluster 1
59921,Travis60@gmail.com,Cluster 4,Cluster 1
54022,Sarah54@gmail.com,Cluster 3,Cluster 1
59131,Todd60@gmail.com,Cluster 4,Cluster 1
10951,Alex72@gmail.com,Cluster 3,Cluster 1
27146,Emily43@gmail.com,Cluster 3,Cluster 1
27719,Erin3@gmail.com,Cluster 3,Cluster 1
60276,Tyler30@gmail.com,Cluster 4,Cluster 1
41770,Lawrence24@gmail.com,Cluster 3,Cluster 1
23897,Dawn85@gmail.com,Cluster 3,Cluster 1
10471,Adrienne73@gmail.com,Cluster 3,Cluster 1
36295,Jonathan81@gmail.com,Cluster 4,Cluster 1
50861,Randy29@gmail.com,Cluster 3,Cluster 1
46254,Melissa41@gmail.com,Cluster 3,Cluster 1
26206,Dwayne48@gmail.com,Cluster 3,Cluster 1
56702,Stephen32@gmail.com,Cluster 4,Cluster 1
56821,Steve5@gmail.com,Cluster 4,Cluster 1
39253,Kelly57@gmail.com,Cluster 3,Cluster 1
12096,Amanda29@gmail.com,Cluster 3,Cluster 1
47362,Misty14@gmail.com,Cluster 4,Cluster 1
46576,Michael14@gmail.com,Cluster 3,Cluster 1
23797,David85@gmail.com,Cluster 3,Cluster 1
57477,Tamara14@gmail.com,Cluster 3,Cluster 1
35925,John68@gmail.com,Cluster 3,Cluster 1
35931,John73@gmail.com,Cluster 4,Cluster 1
29517,Gerald65@gmail.com,Cluster 4,Cluster 1
23026,Daniel67@gmail.com,Cluster 4,Cluster 1
53380,Ryan95@gmail.com,Cluster 3,Cluster 1
59690,Traci4@gmail.com,Cluster 4,Cluster 1
36594,Jose48@gmail.com,Cluster 3,Cluster 1
23767,David58@gmail.com,Cluster 3,Cluster 1
34057,Jennifer95@gmail.com,Cluster 3,Cluster 1
20514,Christine91@gmail.com,Cluster 3,Cluster 1
12624,Andrea94@gmail.com,Cluster 3,Cluster 1
42670,Lisa82@gmail.com,Cluster 3,Cluster 1
16316,Breanna80@gmail.com,Cluster 3,Cluster 1
41325,Larry76@gmail.com,Cluster 4,Cluster 1
36791,Joshua45@gmail.com,Cluster 3,Cluster 1
17739,Caleb46@gmail.com,Cluster 3,Cluster 1
45505,Matthew8@gmail.com,Cluster 3,Cluster 1
52185,Robert47@gmail.com,Cluster 4,Cluster 1
27474,Erica81@gmail.com,Cluster 3,Cluster 1
33438,Jean66@gmail.com,Cluster 4,Cluster 1
52770,Ronald76@gmail.com,Cluster 4,Cluster 1
46896,Michele83@gmail.com,Cluster 3,Cluster 1
20556,Christopher39@gmail.com,Cluster 3,Cluster 1
61981,Willie26@gmail.com,Cluster 3,Cluster 1
14805,Benjamin14@gmail.com,Cluster 4,Cluster 1
46624,Michael58@gmail.com,Cluster 4,Cluster 1
51816,Richard51@gmail.com,Cluster 3,Cluster 1
42527,Lindsey42@gmail.com,Cluster 4,Cluster 1
44248,Margaret32@gmail.com,Cluster 3,Cluster 1
51844,Richard77@gmail.com,Cluster 3,Cluster 1
19551,Charles57@gmail.com,Cluster 3,Cluster 1
44341,Maria26@gmail.com,Cluster 3,Cluster 1
20417,Christina94@gmail.com,Cluster 4,Cluster 1
46599,Michael35@gmail.com,Cluster 3,Cluster 1
58434,Terry63@gmail.com,Cluster 3,Cluster 1
39651,Kerri97@gmail.com,Cluster 3,Cluster 1
39770,Kevin74@gmail.com,Cluster 3,Cluster 1
22260,Crystal39@gmail.com,Cluster 4,Cluster 1
23777,David67@gmail.com,Cluster 3,Cluster 1
55754,Sherry94@gmail.com,Cluster 3,Cluster 1
22373,Curtis52@gmail.com,Cluster 3,Cluster 1
17939,Cameron78@gmail.com,Cluster 1,Cluster 2
43295,Luke43@gmail.com,Cluster 3,Cluster 1
51148,Rebecca19@gmail.com,Cluster 3,Cluster 1
13175,Ann36@gmail.com,Cluster 4,Cluster 1
27407,Erica20@gmail.com,Cluster 4,Cluster 1
50653,Rachel76@gmail.com,Cluster 3,Cluster 1
51834,Richard68@gmail.com,Cluster 3,Cluster 1
16159,Brandon98@gmail.com,Cluster 3,Cluster 1
58155,Teresa13@gmail.com,Cluster 3,Cluster 1
23105,Danielle48@gmail.com,Cluster 4,Cluster 1
50299,Phillip42@gmail.com,Cluster 3,Cluster 1
40509,Kristin80@gmail.com,Cluster 3,Cluster 1
54390,Selena96@gmail.com,Cluster 1,Cluster 2
19565,Charles6@gmail.com,Cluster 3,Cluster 1
23729,David23@gmail.com,Cluster 3,Cluster 1
21755,Connor76@gmail.com,Cluster 3,Cluster 1
17631,Caitlin79@gmail.com,Cluster 3,Cluster 1
30080,Grant90@gmail.com,Cluster 3,Cluster 1
22498,Cynthia77@gmail.com,Cluster 1,Cluster 2
17992,Candace61@gmail.com,Cluster 1,Cluster 2
42675,Lisa87@gmail.com,Cluster 3,Cluster 1
41314,Larry66@gmail.com,Cluster 1,Cluster 2
48526,Nicholas97@gmail.com,Cluster 1,Cluster 2
41418,Latoya48@gmail.com,Cluster 1,Cluster 2
41255,Larry12@gmail.com,Cluster 1,Cluster 2
20580,Christopher60@gmail.com,Cluster 1,Cluster 2
52152,Robert17@gmail.com,Cluster 1,Cluster 2
37425,Julian98@gmail.com,Cluster 3,Cluster 1
32532,James69@gmail.com,Cluster 3,Cluster 1
53599,Samantha75@gmail.com,Cluster 3,Cluster 1
19515,Charles24@gmail.com,Cluster 1,Cluster 2
43432,Lynn54@gmail.com,Cluster 3,Cluster 1
32886,Janice60@gmail.com,Cluster 1,Cluster 2
58885,Timothy19@gmail.com,Cluster 3,Cluster 1
17366,Bruce5@gmail.com,Cluster 1,Cluster 2
12936,Angela80@gmail.com,Cluster 3,Cluster 2
23751,David43@gmail.com,Cluster 3,Cluster 1
12910,Angela57@gmail.com,Cluster 3,Cluster 1
15177,Betty83@gmail.com,Cluster 1,Cluster 2
13554,Anthony34@gmail.com,Cluster 1,Cluster 2
30254,Gregory76@gmail.com,Cluster 1,Cluster 2
17871,Calvin99@gmail.com,Cluster 3,Cluster 1
46928,Michelle21@gmail.com,Cluster 3,Cluster 1
45427,Matthew19@gmail.com,Cluster 1,Cluster 2
59148,Todd76@gmail.com,Cluster 1,Cluster 2
14502,Barbara12@gmail.com,Cluster 3,Cluster 1
60034,Trevor77@gmail.com,Cluster 3,Cluster 1
53166,Russell62@gmail.com,Cluster 1,Cluster 2
15199,Beverly23@gmail.com,Cluster 3,Cluster 2
10568,Alan38@gmail.com,Cluster 3,Cluster 1
44135,Marcus19@gmail.com,Cluster 1,Cluster 2
30861,Heather3@gmail.com,Cluster 1,Cluster 2
59824,Tracy63@gmail.com,Cluster 1,Cluster 2
61584,Wendy13@gmail.com,Cluster 1,Cluster 2
28365,Frances39@gmail.com,Cluster 1,Cluster 2
39101,Keith98@gmail.com,Cluster 3,Cluster 1
23050,Daniel89@gmail.com,Cluster 1,Cluster 2
28027,Evan40@gmail.com,Cluster 3,Cluster 1
44191,Marcus6@gmail.com,Cluster 3,Cluster 1
42170,Leslie21@gmail.com,Cluster 1,Cluster 2
59464,Tony93@gmail.com,Cluster 3,Cluster 1
56628,Stephanie56@gmail.com,Cluster 1,Cluster 2
45944,Meghan23@gmail.com,Cluster 3,Cluster 2
56643,Stephanie6@gmail.com,Cluster 3,Cluster 1
12760,Andrew82@gmail.com,Cluster 1,Cluster 2
27145,Emily42@gmail.com,Cluster 1,Cluster 2
20521,Christine98@gmail.com,Cluster 3,Cluster 2
61674,Wendy96@gmail.com,Cluster 1,Cluster 2
51797,Richard34@gmail.com,Cluster 1,Cluster 2
24427,Denise49@gmail.com,Cluster 1,Cluster 2
19769,Chelsea47@gmail.com,Cluster 1,Cluster 2
46281,Melissa66@gmail.com,Cluster 3,Cluster 1
34060,Jennifer98@gmail.com,Cluster 1,Cluster 2
46581,Michael19@gmail.com,Cluster 1,Cluster 2
12085,Amanda19@gmail.com,Cluster 3,Cluster 1
30207,Gregory33@gmail.com,Cluster 3,Cluster 1
31686,Isabel14@gmail.com,Cluster 3,Cluster 1
15884,Bradley55@gmail.com,Cluster 1,Cluster 2
56432,Stacy75@gmail.com,Cluster 1,Cluster 2
49554,Patrick39@gmail.com,Cluster 1,Cluster 2
12277,Amy11@gmail.com,Cluster 3,Cluster 1
55311,Shelia39@gmail.com,Cluster 1,Cluster 2
61941,William7@gmail.com,Cluster 1,Cluster 2
35923,John66@gmail.com,Cluster 1,Cluster 2
59425,Tony57@gmail.com,Cluster 1,Cluster 2
39086,Keith84@gmail.com,Cluster 1,Cluster 2
25638,Donald88@gmail.com,Cluster 1,Cluster 2
23808,David95@gmail.com,Cluster 1,Cluster 2
48254,Nathan56@gmail.com,Cluster 3,Cluster 2
42806,Loretta15@gmail.com,Cluster 1,Cluster 2
27005,Elizabeth61@gmail.com,Cluster 3,Cluster 1
36730,Joseph80@gmail.com,Cluster 1,Cluster 2
12549,Andrea26@gmail.com,Cluster 1,Cluster 2
35944,John85@gmail.com,Cluster 1,Cluster 2
32551,James86@gmail.com,Cluster 4,Cluster 2
12838,Angel79@gmail.com,Cluster 1,Cluster 2
32497,James37@gmail.com,Cluster 1,Cluster 2
13282,Anna42@gmail.com,Cluster 4,Cluster 2
52990,Roy39@gmail.com,Cluster 1,Cluster 2
47475,Mitchell35@gmail.com,Cluster 3,Cluster 1
41479,Laura29@gmail.com,Cluster 3,Cluster 2
42283,Levi6@gmail.com,Cluster 1,Cluster 2
39574,Kenneth94@gmail.com,Cluster 1,Cluster 2
59096,Todd29@gmail.com,Cluster 1,Cluster 2
37867,Kara95@gmail.com,Cluster 1,Cluster 2
59542,Tonya74@gmail.com,Cluster 1,Cluster 2
36246,Jonathan37@gmail.com,Cluster 3,Cluster 1
33057,Jasmin96@gmail.com,Cluster 3,Cluster 1
12234,Amber63@gmail.com,Cluster 3,Cluster 1
61910,William51@gmail.com,Cluster 1,Cluster 2
48733,Nicole96@gmail.com,Cluster 1,Cluster 2
38400,Kathleen47@gmail.com,Cluster 1,Cluster 2
39755,Kevin60@gmail.com,Cluster 3,Cluster 1
14106,Ashley29@gmail.com,Cluster 3,Cluster 1
57327,Sydney58@gmail.com,Cluster 3,Cluster 1
34682,Jessica48@gmail.com,Cluster 3,Cluster 1
15774,Brad28@gmail.com,Cluster 3,Cluster 1
54314,Sean72@gmail.com,Cluster 4,Cluster 1
62320,Yvonne25@gmail.com,Cluster 4,Cluster 1
38825,Katrina76@gmail.com,Cluster 3,Cluster 1
37596,Justin71@gmail.com,Cluster 4,Cluster 1
24264,Deborah81@gmail.com,Cluster 3,Cluster 1
51191,Rebecca58@gmail.com,Cluster 4,Cluster 1
12410,Ana58@gmail.com,Cluster 3,Cluster 1
27057,Ellen26@gmail.com,Cluster 4,Cluster 1
23000,Daniel43@gmail.com,Cluster 3,Cluster 1
22929,Dana69@gmail.com,Cluster 3,Cluster 1
60014,Trevor57@gmail.com,Cluster 3,Cluster 1
54520,Seth91@gmail.com,Cluster 4,Cluster 1
34266,Jeremy49@gmail.com,Cluster 3,Cluster 1
36721,Joseph72@gmail.com,Cluster 3,Cluster 1
16690,Brian21@gmail.com,Cluster 4,Cluster 1
52608,Roger16@gmail.com,Cluster 3,Cluster 1
53361,Ryan78@gmail.com,Cluster 4,Cluster 1
32227,Jacqueline26@gmail.com,Cluster 3,Cluster 1
11040,Alexander14@gmail.com,Cluster 3,Cluster 1
11011,Alexa61@gmail.com,Cluster 4,Cluster 1
35847,Joel88@gmail.com,Cluster 3,Cluster 1
39959,Kimberly22@gmail.com,Cluster 4,Cluster 1
16140,Brandon80@gmail.com,Cluster 4,Cluster 1
53236,Ruth41@gmail.com,Cluster 3,Cluster 1
47555,Molly20@gmail.com,Cluster 3,Cluster 1
35893,John39@gmail.com,Cluster 4,Cluster 1
51213,Rebecca78@gmail.com,Cluster 3,Cluster 1
26971,Elizabeth30@gmail.com,Cluster 3,Cluster 1
12208,Amber3@gmail.com,Cluster 4,Cluster 1
36572,Jose28@gmail.com,Cluster 3,Cluster 1
28527,Francisco97@gmail.com,Cluster 4,Cluster 1
36798,Joshua51@gmail.com,Cluster 3,Cluster 1
50630,Rachel55@gmail.com,Cluster 3,Cluster 1
36146,Jon26@gmail.com,Cluster 4,Cluster 1
20613,Christopher90@gmail.com,Cluster 3,Cluster 1
44396,Maria76@gmail.com,Cluster 4,Cluster 1
27382,Eric89@gmail.com,Cluster 3,Cluster 1
39516,Kenneth41@gmail.com,Cluster 3,Cluster 1
31945,Jack84@gmail.com,Cluster 3,Cluster 1
28060,Evan72@gmail.com,Cluster 3,Cluster 1
37476,Julie53@gmail.com,Cluster 3,Cluster 1
43632,Madison34@gmail.com,Cluster 3,Cluster 1
35959,John99@gmail.com,Cluster 3,Cluster 1
26007,Drew85@gmail.com,Cluster 3,Cluster 1
36640,Jose8@gmail.com,Cluster 3,Cluster 1
45449,Matthew39@gmail.com,Cluster 4,Cluster 1
36747,Joseph96@gmail.com,Cluster 3,Cluster 1
46081,Melanie63@gmail.com,Cluster 3,Cluster 1
56945,Steven86@gmail.com,Cluster 3,Cluster 1
44927,Mark64@gmail.com,Cluster 3,Cluster 1
43820,Mallory66@gmail.com,Cluster 4,Cluster 1
32498,James38@gmail.com,Cluster 4,Cluster 1
55157,Sheila52@gmail.com,Cluster 3,Cluster 1
52754,Ronald61@gmail.com,Cluster 3,Cluster 1
40256,Kristen41@gmail.com,Cluster 3,Cluster 1
42376,Linda82@gmail.com,Cluster 4,Cluster 1
44409,Maria88@gmail.com,Cluster 3,Cluster 1
11319,Alexis28@gmail.com,Cluster 4,Cluster 1
58809,Tiffany95@gmail.com,Cluster 3,Cluster 1
37283,Julia31@gmail.com,Cluster 3,Cluster 1
45211,Mary16@gmail.com,Cluster 4,Cluster 1
27350,Eric5@gmail.com,Cluster 3,Cluster 1
44418,Maria96@gmail.com,Cluster 3,Cluster 1
45492,Matthew78@gmail.com,Cluster 4,Cluster 1
53359,Ryan76@gmail.com,Cluster 3,Cluster 1
48728,Nicole91@gmail.com,Cluster 4,Cluster 1
34645,Jessica14@gmail.com,Cluster 3,Cluster 1
53360,Ryan77@gmail.com,Cluster 3,Cluster 1
29289,Gene14@gmail.com,Cluster 3,Cluster 1
51113,Raymond78@gmail.com,Cluster 3,Cluster 1
52127,Rita77@gmail.com,Cluster 3,Cluster 1
59911,Travis51@gmail.com,Cluster 3,Cluster 1
16718,Brian47@gmail.com,Cluster 3,Cluster 1
27011,Elizabeth67@gmail.com,Cluster 3,Cluster 1
30423,Hailey97@gmail.com,Cluster 3,Cluster 1
16364,Brenda43@gmail.com,Cluster 3,Cluster 1
30881,Heather58@gmail.com,Cluster 4,Cluster 1
45292,Mary8@gmail.com,Cluster 3,Cluster 1
43126,Lucas55@gmail.com,Cluster 3,Cluster 1
15819,Brad83@gmail.com,Cluster 3,Cluster 1
32161,Jacob57@gmail.com,Cluster 4,Cluster 1
41068,Kyle97@gmail.com,Cluster 3,Cluster 1
11217,Alexandra85@gmail.com,Cluster 3,Cluster 1
42599,Lisa18@gmail.com,Cluster 3,Cluster 1
12102,Amanda34@gmail.com,Cluster 3,Cluster 1
49345,Pamela69@gmail.com,Cluster 3,Cluster 1
37847,Kara76@gmail.com,Cluster 4,Cluster 1
37039,Juan40@gmail.com,Cluster 4,Cluster 1
46953,Michelle44@gmail.com,Cluster 3,Cluster 1
54413,Sergio50@gmail.com,Cluster 3,Cluster 1
43736,Makayla80@gmail.com,Cluster 3,Cluster 1
48233,Nathan37@gmail.com,Cluster 4,Cluster 1
22598,Dakota67@gmail.com,Cluster 3,Cluster 1
37917,Karen4@gmail.com,Cluster 3,Cluster 1
25748,Donna97@gmail.com,Cluster 4,Cluster 1
24509,Dennis32@gmail.com,Cluster 4,Cluster 1
49587,Patrick69@gmail.com,Cluster 3,Cluster 1
17772,Caleb77@gmail.com,Cluster 3,Cluster 1
35886,John32@gmail.com,Cluster 4,Cluster 1
25712,Donna64@gmail.com,Cluster 4,Cluster 1
20431,Christine16@gmail.com,Cluster 3,Cluster 1
14651,Barry71@gmail.com,Cluster 3,Cluster 1
36702,Joseph55@gmail.com,Cluster 3,Cluster 1
37319,Julia64@gmail.com,Cluster 4,Cluster 1
36755,Joshua12@gmail.com,Cluster 3,Cluster 1
33860,Jeffrey92@gmail.com,Cluster 3,Cluster 1
46250,Melissa38@gmail.com,Cluster 3,Cluster 1
35283,Joann35@gmail.com,Cluster 4,Cluster 1
16344,Brenda25@gmail.com,Cluster 4,Cluster 1
61078,Victoria86@gmail.com,Cluster 4,Cluster 1
36725,Joseph76@gmail.com,Cluster 4,Cluster 1
61098,Vincent13@gmail.com,Cluster 4,Cluster 1
47920,Nancy16@gmail.com,Cluster 3,Cluster 1
10539,Alan10@gmail.com,Cluster 3,Cluster 1
36700,Joseph53@gmail.com,Cluster 3,Cluster 1
16249,Brandy95@gmail.com,Cluster 3,Cluster 1
53650,Samuel30@gmail.com,Cluster 4,Cluster 1
36720,Joseph71@gmail.com,Cluster 3,Cluster 1
51808,Richard44@gmail.com,Cluster 3,Cluster 1
59797,Tracy39@gmail.com,Cluster 3,Cluster 1
41495,Laura43@gmail.com,Cluster 4,Cluster 1
32528,James65@gmail.com,Cluster 3,Cluster 1
13378,Anne44@gmail.com,Cluster 3,Cluster 1
33006,Jared86@gmail.com,Cluster 3,Cluster 1
29209,Gary50@gmail.com,Cluster 4,Cluster 1
27288,Emma94@gmail.com,Cluster 3,Cluster 1
39977,Kimberly39@gmail.com,Cluster 3,Cluster 1
10691,Albert71@gmail.com,Cluster 4,Cluster 1
36782,Joshua37@gmail.com,Cluster 4,Cluster 1
35916,John5@gmail.com,Cluster 4,Cluster 1
35877,John24@gmail.com,Cluster 3,Cluster 1
20533,Christopher18@gmail.com,Cluster 3,Cluster 1
45511,Matthew95@gmail.com,Cluster 3,Cluster 1
17457,Bryan52@gmail.com,Cluster 3,Cluster 1
31591,Ian84@gmail.com,Cluster 3,Cluster 1
52423,Robin58@gmail.com,Cluster 4,Cluster 1
20497,Christine76@gmail.com,Cluster 4,Cluster 1
12081,Amanda15@gmail.com,Cluster 3,Cluster 1
21775,Corey12@gmail.com,Cluster 4,Cluster 1
52766,Ronald72@gmail.com,Cluster 3,Cluster 1
56668,Stephanie92@gmail.com,Cluster 3,Cluster 1
60456,Valerie48@gmail.com,Cluster 4,Cluster 1
39784,Kevin87@gmail.com,Cluster 3,Cluster 1
32047,Jackson60@gmail.com,Cluster 3,Cluster 1
36659,Joseph16@gmail.com,Cluster 4,Cluster 1
60326,Tyler76@gmail.com,Cluster 3,Cluster 1
46612,Michael47@gmail.com,Cluster 3,Cluster 1
19917,Cheryl57@gmail.com,Cluster 3,Cluster 1
11516,Alicia1@gmail.com,Cluster 3,Cluster 1
27009,Elizabeth65@gmail.com,Cluster 4,Cluster 1
50159,Peter93@gmail.com,Cluster 3,Cluster 1
13340,Anna95@gmail.com,Cluster 4,Cluster 1
25907,Douglas49@gmail.com,Cluster 4,Cluster 1
25161,Diana40@gmail.com,Cluster 3,Cluster 1
39192,Kellie68@gmail.com,Cluster 3,Cluster 1
49494,Patricia75@gmail.com,Cluster 4,Cluster 1
53843,Sandy51@gmail.com,Cluster 4,Cluster 1
16706,Brian36@gmail.com,Cluster 3,Cluster 1
15396,Billy36@gmail.com,Cluster 4,Cluster 1
61770,Wesley98@gmail.com,Cluster 4,Cluster 1
39508,Kenneth34@gmail.com,Cluster 4,Cluster 1
58002,Tara90@gmail.com,Cluster 3,Cluster 1
10635,Alan9@gmail.com,Cluster 3,Cluster 1
29339,Geoffrey56@gmail.com,Cluster 3,Cluster 1
56832,Steve70@gmail.com,Cluster 4,Cluster 1
36380,Jordan16@gmail.com,Cluster 4,Cluster 1
37513,Julie87@gmail.com,Cluster 4,Cluster 1
38900,Kayla57@gmail.com,Cluster 3,Cluster 1
25205,Diana80@gmail.com,Cluster 4,Cluster 1
45452,Matthew41@gmail.com,Cluster 4,Cluster 1
16917,Brianna70@gmail.com,Cluster 4,Cluster 1
27645,Erika61@gmail.com,Cluster 3,Cluster 1
43160,Lucas93@gmail.com,Cluster 3,Cluster 1
25635,Donald85@gmail.com,Cluster 3,Cluster 1
58923,Timothy53@gmail.com,Cluster 3,Cluster 1
34047,Jennifer86@gmail.com,Cluster 3,Cluster 1
33164,Jason14@gmail.com,Cluster 3,Cluster 1
49536,Patrick22@gmail.com,Cluster 3,Cluster 1
17971,Candace26@gmail.com,Cluster 3,Cluster 1
35930,John72@gmail.com,Cluster 3,Cluster 1
23932,Dean34@gmail.com,Cluster 4,Cluster 1
57685,Tammy2@gmail.com,Cluster 4,Cluster 1
31453,Hunter25@gmail.com,Cluster 3,Cluster 1
47288,Miranda28@gmail.com,Cluster 3,Cluster 1
45914,Megan84@gmail.com,Cluster 4,Cluster 1
52977,Roy25@gmail.com,Cluster 4,Cluster 1
31017,Heidi2@gmail.com,Cluster 4,Cluster 1
